optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,128.0,0.01,No Regularization,0.0,0.0,0.0,0.9740000367164612,0.06589033361524343,0.996916651725769,0.012617294313732852,19.821
Adam,32.0,0.01,Dropout,0.0,0.0,0.3,0.9740000367164612,0.09173131780698895,0.9401666522026062,0.1863900037755569,36.278
Adam,32.0,0.01,No Regularization,0.0,0.0,0.0,0.9720000624656677,0.07146184600424021,0.9853333234786987,0.0459153733405595,49.117
Adam,64.0,0.01,Dropout,0.0,0.0,0.3,0.9720000624656677,0.0738276019692421,0.9479166269302368,0.16002709044024666,18.433
SGD,32.0,0.01,Elastic,0.001,0.001,0.0,0.9700000286102295,0.12179861683398485,0.9789999723434448,0.12493191946546237,29.548
SGD,32.0,0.01,L2,0.001,0.0,0.0,0.9700000286102295,0.14488905668258667,0.9760833382606506,0.12981914885838827,29.395
Adam,256.0,0.01,Dropout,0.0,0.0,0.3,0.968000054359436,0.08675329759716988,0.9525833129882812,0.14919279357220264,18.716
Adam,128.0,0.01,Dropout,0.0,0.0,0.3,0.968000054359436,0.09815912786871195,0.95333331823349,0.14468700502147067,16.394
Adam,256.0,0.01,No Regularization,0.0,0.0,0.0,0.9660000205039978,0.1069776713848114,0.9979999661445618,0.009118243368302888,13.927
Adam,64.0,0.01,No Regularization,0.0,0.0,0.0,0.9660000205039978,0.11882002383936197,0.9879166483879089,0.034773846319133536,18.078
SGD,32.0,0.01,L1,0.0,0.001,0.0,0.9660000205039978,0.11895404465030879,0.9785833358764648,0.12252854582667351,22.26
Adam,128.0,0.01,L1,0.0,0.001,0.0,0.9660000205039978,0.14201436378061771,0.9595833420753479,0.13658588403399954,17.276
SGD,32.0,0.01,Elastic,0.01,0.001,0.0,0.9660000205039978,0.18710898701101542,0.9760833382606506,0.20088403530915577,27.949
SGD,64.0,0.01,No Regularization,0.0,0.0,0.0,0.9640000462532043,0.18870780430734158,0.9639166593551636,0.1990400918937744,20.149
SGD,32.0,0.01,No Regularization,0.0,0.0,0.0,0.9620000720024109,0.1153370050014928,0.9752500057220459,0.12259833309054374,25.877
Adam,64.0,0.01,L2,0.001,0.0,0.0,0.9620000720024109,0.14591065794229507,0.9599166512489319,0.13576343039328115,22.29
Adam,128.0,0.01,L2,0.001,0.0,0.0,0.9600000381469727,0.13519645482301712,0.9682499766349792,0.1097338652198619,16.914
SGD,64.0,0.01,Elastic,0.001,0.001,0.0,0.9600000381469727,0.18205016292631626,0.9677500128746033,0.19397823575963366,22.759
SGD,64.0,0.01,Elastic,0.01,0.001,0.0,0.9600000381469727,0.24143325723707676,0.9641666412353516,0.26216825937971155,24.772
