number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_optimizer,state
11,0.7747594226142742,2023-04-10 00:36:07.360927,2023-04-10 00:42:31.414721,0 days 00:06:24.053794,58,77,24,0.0032747313778947323,0.03177451687554504,4,0,1,1122,,,,SGD,COMPLETE
22,0.7709334935897436,2023-04-10 01:48:26.695851,2023-04-10 01:56:05.636776,0 days 00:07:38.940925,32,84,16,0.005456044701851986,0.034539420679820736,4,0,1,682,,,,SGD,COMPLETE
13,0.7645348837209303,2023-04-10 00:49:20.466521,2023-04-10 00:55:39.431891,0 days 00:06:18.965370,58,65,19,0.0007985395063190349,0.01772815807878524,4,0,1,1117,,,,SGD,COMPLETE
21,0.7561220393416299,2023-04-10 01:41:28.383899,2023-04-10 01:48:26.687677,0 days 00:06:58.303778,47,79,17,0.0006556262012907047,0.07477745268179996,4,0,1,120,,,,SGD,COMPLETE
12,0.7542151746286632,2023-04-10 00:42:31.417228,2023-04-10 00:49:20.463979,0 days 00:06:49.046751,47,70,16,0.001268602868406412,0.09513020008277683,4,0,1,131,,,,SGD,COMPLETE
16,0.747008547008547,2023-04-10 01:08:23.761561,2023-04-10 01:14:41.782562,0 days 00:06:18.021001,65,123,27,0.19381243078140892,0.026396047300280476,4,0,1,1045,,,,SGD,COMPLETE
2,0.7462611663153669,2023-04-09 23:36:40.131748,2023-04-09 23:44:24.578993,0 days 00:07:44.447245,41,95,57,0.11068259614912063,0.05595936319859068,4,1,1,395,,,,SGD,COMPLETE
23,0.7411858974358975,2023-04-10 01:56:05.639879,2023-04-10 02:04:03.150044,0 days 00:07:57.510165,32,132,29,0.057387775039085084,0.027875722071780188,3,1,1,713,,,,SGD,COMPLETE
7,0.7367892304601166,2023-04-10 00:08:33.586045,2023-04-10 00:14:48.298528,0 days 00:06:14.712483,79,166,38,0.09227266986962734,0.004804192936962535,4,0,2,1152,1487.0,,,SGD,COMPLETE
10,0.7366416040100251,2023-04-10 00:27:53.441012,2023-04-10 00:36:07.357534,0 days 00:08:13.916522,35,243,17,0.016344035170161086,0.09079270592100101,3,2,1,533,,,,SGD,COMPLETE
