number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
35,0.7718052738336714,2023-04-09 19:29:32.568566,2023-04-09 19:31:35.068217,0 days 00:02:02.499651,68,210,53,0.11873104968672123,0.0016086925965249743,2,2,1,796,,,Adam,COMPLETE
28,0.7680041152263375,2023-04-09 19:19:48.644531,2023-04-09 19:21:37.233122,0 days 00:01:48.588591,81,190,54,0.1642273382219108,0.0005108363195099139,2,2,1,542,,,Adam,COMPLETE
15,0.7655935613682092,2023-04-09 19:05:53.003506,2023-04-09 19:07:56.660271,0 days 00:02:03.656765,71,248,54,0.10099925154505071,0.0005216801523083468,2,3,1,389,,,Adam,COMPLETE
39,0.7634408602150538,2023-04-09 19:33:45.871112,2023-04-09 19:35:47.814354,0 days 00:02:01.943242,63,185,56,0.12027097369662686,0.0002541325148506111,2,2,1,983,,,Adam,COMPLETE
32,0.7608915906788247,2023-04-09 19:25:13.570931,2023-04-09 19:27:35.491542,0 days 00:02:21.920611,42,172,54,0.18961724498749372,0.0007992429893539685,2,2,1,526,,,Adam,COMPLETE
34,0.7605128205128205,2023-04-09 19:27:41.152054,2023-04-09 19:29:32.563331,0 days 00:01:51.411277,65,211,53,0.1560755137366204,0.0007094097888314487,1,2,1,648,,,Adam,COMPLETE
36,0.76,2023-04-09 19:31:35.072392,2023-04-09 19:33:30.771875,0 days 00:01:55.699483,77,193,50,0.11880704973990755,0.0014233904021983023,2,2,1,872,,,Adam,COMPLETE
17,0.7591836734693878,2023-04-09 19:08:03.397955,2023-04-09 19:09:50.071400,0 days 00:01:46.673445,98,254,54,0.1568185765724432,0.00043055269860850043,1,3,2,420,535.0,,Adam,COMPLETE
44,0.7550505050505051,2023-04-09 19:39:58.121146,2023-04-09 19:42:18.786946,0 days 00:02:20.665800,45,176,60,0.14653837553270285,0.0019753510300095814,2,2,1,948,,,Adam,COMPLETE
1,0.7530425963488844,2023-04-09 18:43:24.548895,2023-04-09 18:46:33.194227,0 days 00:03:08.645332,34,169,58,0.12743528301479687,0.0010863155620430944,3,3,2,399,235.0,,Adam,COMPLETE
19,0.7505102040816326,2023-04-09 19:09:55.159425,2023-04-09 19:11:39.312031,0 days 00:01:44.152606,98,233,55,0.16282374565083735,0.003607897955699809,1,3,2,464,980.0,,Adam,COMPLETE
41,0.7502564102564102,2023-04-09 19:35:52.848713,2023-04-09 19:37:58.682432,0 days 00:02:05.833719,65,166,55,0.10053972111907103,0.0002727758849831905,2,2,1,1000,,,Adam,COMPLETE
26,0.7480877103518613,2023-04-09 19:17:16.474137,2023-04-09 19:19:42.843168,0 days 00:02:26.369031,53,241,62,0.1251058795919113,0.0011912958077679198,2,3,3,418,914.0,945.0,Adam,COMPLETE
31,0.7444444444444445,2023-04-09 19:23:30.980289,2023-04-09 19:25:13.566891,0 days 00:01:42.586602,99,159,59,0.1451081803451913,0.00019586904626933119,2,2,1,453,,,Adam,COMPLETE
42,0.7439759036144579,2023-04-09 19:37:58.686866,2023-04-09 19:39:46.830256,0 days 00:01:48.143390,83,203,52,0.12340039276186299,0.0009388766542172291,2,2,1,694,,,Adam,COMPLETE
30,0.7431749241658241,2023-04-09 19:21:43.317009,2023-04-09 19:23:30.976496,0 days 00:01:47.659487,86,226,46,0.16938893438888997,0.00044086120280695446,1,2,1,557,,,Adam,COMPLETE
